trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",20,3,27.310131757966936,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",20,13,12.58986794820077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",30,12,11.741311109532651,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.035084354100845025}",30,19,14.96467161322592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",25,10,9.199610411065006,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",20,10,14.001608126374082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",25,9,22.95537080833118,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.033708676899572396}",20,0,7.493885304178064,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",30,17,24.381171781597715,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",25,14,19.990673152882856,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",25,15,21.493881171981783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,0,27.88616463672142,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
344,False,"{'a': 0.01, 'e': 0.03206468532786077}",35,13,39.682668929508594,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",20,2,29.230740932410846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836771}",25,8,29.71914691405243,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.03111703066106086}",25,14,20.029295950033934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751076}",30,15,29.232890183596606,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.01, 'e': 0.030500872171217483}",25,18,14.053799361515628,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.0301973834223185}",25,0,16.426947934734983,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
351,False,"{'a': 0.01, 'e': 0.029896914436926308}",25,14,26.027636271663663,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.01, 'e': 0.029599435167892}",25,10,14.543547692760532,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
